number,area,perimeter,minellipse,majellipse,cumulativeAverage
321,2564,256,39.8985,81.9404,2180.548287
322,2291,242,37.9768,76.9417,2180.891304
323,2194,218,38.4439,72.8386,2180.931889
324,2408,236,37.4207,82.0763,2181.632716
325,1539,190,28.3881,69.195,2179.655385
326,2249,230,37.4621,76.5997,2179.868098
327,2245,222,36.706,78.019,2180.067278
328,1772,200,32.4734,69.6526,2178.823171
329,2481,238,41.9726,75.6803,2179.741641
330,2624,240,40.144,83.3259,2181.087879
331,2123,218,36.18,74.8069,2180.912387
332,1624,210,30.094,68.8246,2179.23494
333,2024,222,34.9363,73.9387,2178.768769
334,2298,238,37.3109,78.584,2179.125749
335,2030,218,36.749,70.4536,2178.680597
336,1990,256,34.4191,75.8632,2178.119048
337,2115,226,39.0577,69.3465,2177.931751
338,1417,206,25.5512,70.8063,2175.680473
339,1926,206,34.57,71.1111,2174.943953
340,2370,234,37.7965,80.0767,2175.517647
341,2175,240,34.9327,79.3952,2175.516129
342,2405,243,39.9801,76.7352,2176.187135
343,2411,231,39.2004,78.5019,2176.87172
344,1673,210,26.64,80.2454,2175.406977
345,2035,218,35.4004,73.3495,2175.0
346,2551,234,41.1305,79.0911,2176.086705
